Ligand,Receptor,Annotation,Reference
BMP6,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893307
BMP6,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893308
BMP6,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893308
BMP6,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893309
BMP6,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893309
BMP6,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893310
BMP6,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893310
BMP6,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893311
BMP6,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893311
BMP6,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893312
BMP6,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893312
BMP7,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893313
BMP7,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893313
BMP7,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893314
BMP7,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893314
BMP7,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893315
BMP7,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893315
BMP7,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893316
BMP7,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893316
BMP7,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893317
BMP7,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893317
BMP7,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893318
BMP7,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893318
BMP7,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893319
BMP7,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893319
BMP7,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893320
BMP7,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893320
BMP7,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893321
BMP7,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893321
BMP8A,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893322
BMP8A,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893322
BMP8A,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893323
BMP8A,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893323
BMP8A,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893324
BMP8A,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893324
BMP8A,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893325
BMP8A,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893325
BMP8A,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893326
BMP8A,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893326
BMP8A,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893327
BMP8A,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893327
BMP8A,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893328
BMP8A,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893328
BMP8A,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893329
BMP8A,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893329
BMP8A,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893330
BMP8A,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893330
BMP8B,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893331
BMP8B,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893331
BMP8B,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893332
BMP8B,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893332
BMP8B,ACVR1,Secreted Signaling,KEGG: hsa04350; PMID:26893333
BMP8B,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893333
BMP8B,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893334
BMP8B,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893334
BMP8B,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893335
BMP8B,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893335
BMP8B,BMPR1A,Secreted Signaling,KEGG: hsa04350; PMID:26893336
BMP8B,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893336
BMP8B,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893337
BMP8B,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893337
BMP8B,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893338
BMP8B,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID:26893338
BMP8B,BMPR1B,Secreted Signaling,KEGG: hsa04350; PMID:26893339
BMP8B,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893339
BMP10,ACVRL1,Secreted Signaling,KEGG: hsa04350; PMID:26893264; PMID: 25620979
BMP10,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893264; PMID: 25620979
BMP10,ACVRL1,Secreted Signaling,KEGG: hsa04350; PMID:26893264; PMID: 25620979
BMP10,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893264; PMID: 25620979
GDF2,ACVRL1,Secreted Signaling,KEGG: hsa04350; PMID:26893264
GDF2,BMPR2,Secreted Signaling,KEGG: hsa04350; PMID:26893264
GDF2,ACVRL1,Secreted Signaling,KEGG: hsa04350; PMID:26893264
GDF2,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID:26893264
GDF9,ACVR1B,Secreted Signaling,KEGG: hsa04350
GDF9,BMPR2,Secreted Signaling,KEGG: hsa04350
GDF10,ACVR1B,Secreted Signaling,KEGG: hsa04350
GDF10,ACVR2A,Secreted Signaling,KEGG: hsa04350
GDF11,TGFBR1,Secreted Signaling,KEGG: hsa04350
GDF11,ACVR2A,Secreted Signaling,KEGG: hsa04350
GDF11,TGFBR1,Secreted Signaling,KEGG: hsa04350
GDF11,ACVR2B,Secreted Signaling,KEGG: hsa04350
GDF11,ACVR1B,Secreted Signaling,KEGG: hsa04350
GDF11,ACVR2B,Secreted Signaling,KEGG: hsa04350
GDF15,TGFBR2,Secreted Signaling,KEGG: hsa04350
MSTN,TGFBR1,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR2B,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR1B,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR2B,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR1B,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR2A,Secreted Signaling,KEGG: hsa04060
MSTN,TGFBR1,Secreted Signaling,KEGG: hsa04060
MSTN,ACVR2A,Secreted Signaling,KEGG: hsa04060
AMH,AMHR2,Secreted Signaling,KEGG: hsa04060
AMH,ACVR1,Secreted Signaling,KEGG: hsa04060
AMH,AMHR2,Secreted Signaling,KEGG: hsa04060
AMH,BMPR1A,Secreted Signaling,KEGG: hsa04060
GDNF,GFRA1,Secreted Signaling,PMID: 11544105
GDNF,RET,Secreted Signaling,PMID: 11544105
NRTN,GFRA2,Secreted Signaling,PMID: 11544106
NRTN,RET,Secreted Signaling,PMID: 11544106
ARTN,GFRA3,Secreted Signaling,PMID: 11544107
ARTN,RET,Secreted Signaling,PMID: 11544107
PSPN,GFRA4,Secreted Signaling,PMID: 11544108
PSPN,RET,Secreted Signaling,PMID: 11544108
ARTN,GFRA1,Secreted Signaling,PMID: 11544109
ARTN,RET,Secreted Signaling,PMID: 11544109
NODAL,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
NODAL,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF1,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR1B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR2A,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR1C,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,ACVR2B,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
GDF3,CFC1,Secreted Signaling,KEGG: hsa04350; PMID: 17287255
INHBA,ACVR1B,Secreted Signaling,KEGG: hsa04350
INHBA,ACVR2A,Secreted Signaling,KEGG: hsa04350
INHBA,ACVR1B,Secreted Signaling,KEGG: hsa04351
INHBA,ACVR2B,Secreted Signaling,KEGG: hsa04351
INHBB,ACVR1B,Secreted Signaling,KEGG: hsa04352
INHBB,ACVR2A,Secreted Signaling,KEGG: hsa04352
INHBB,ACVR1B,Secreted Signaling,KEGG: hsa04353
INHBB,ACVR2B,Secreted Signaling,KEGG: hsa04353
INHBB,ACVR1C,Secreted Signaling,KEGG: hsa04354
INHBB,ACVR2A,Secreted Signaling,KEGG: hsa04354
INHBB,ACVR1C,Secreted Signaling,KEGG: hsa04355
INHBB,ACVR2B,Secreted Signaling,KEGG: hsa04355
INHBC,ACVR1B,Secreted Signaling,KEGG: hsa04356
INHBC,ACVR2A,Secreted Signaling,KEGG: hsa04356
INHBC,ACVR1B,Secreted Signaling,KEGG: hsa04357
INHBC,ACVR2B,Secreted Signaling,KEGG: hsa04357
INHBC,ACVR1C,Secreted Signaling,KEGG: hsa04358
INHBC,ACVR2A,Secreted Signaling,KEGG: hsa04358
INHBC,ACVR1C,Secreted Signaling,KEGG: hsa04359
INHBC,ACVR2B,Secreted Signaling,KEGG: hsa04359
INHBE,ACVR1B,Secreted Signaling,KEGG: hsa04360
INHBE,ACVR2A,Secreted Signaling,KEGG: hsa04360
INHBE,ACVR1B,Secreted Signaling,KEGG: hsa04361
INHBE,ACVR2B,Secreted Signaling,KEGG: hsa04361
INHBE,ACVR1C,Secreted Signaling,KEGG: hsa04362
INHBE,ACVR2A,Secreted Signaling,KEGG: hsa04362
INHBE,ACVR1C,Secreted Signaling,KEGG: hsa04363
INHBE,ACVR2B,Secreted Signaling,KEGG: hsa04363
INHBA&INHBB,ACVR1B,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR2A,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR1B,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR2B,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR1C,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR2A,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR1C,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHBA&INHBB,ACVR2B,Secreted Signaling,PMID: 2457849; PMID: 22991378
INHA&INHBA,ACVR2A,Secreted Signaling,PMID: 15027884
INHA&INHBB,ACVR2B,Secreted Signaling,PMID: 15027884
WNT1,FZD1,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209147
WNT1,FZD10,Secreted Signaling,KEGG: hsa04310; PMID: 23209148
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209148
WNT1,FZD2,Secreted Signaling,KEGG: hsa04310; PMID: 23209149
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209149
WNT1,FZD3,Secreted Signaling,KEGG: hsa04310; PMID: 23209150
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209150
WNT1,FZD4,Secreted Signaling,KEGG: hsa04310; PMID: 23209151
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209151
WNT1,FZD5,Secreted Signaling,KEGG: hsa04310; PMID: 23209152
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209152
WNT1,FZD6,Secreted Signaling,KEGG: hsa04310; PMID: 23209153
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209153
WNT1,FZD7,Secreted Signaling,KEGG: hsa04310; PMID: 23209154
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209154
WNT1,FZD8,Secreted Signaling,KEGG: hsa04310; PMID: 23209155
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209155
WNT1,FZD9,Secreted Signaling,KEGG: hsa04310; PMID: 23209156
WNT1,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209156
WNT10A,FZD1,Secreted Signaling,KEGG: hsa04310; PMID: 23209157
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209157
WNT10A,FZD10,Secreted Signaling,KEGG: hsa04310; PMID: 23209158
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209158
WNT10A,FZD2,Secreted Signaling,KEGG: hsa04310; PMID: 23209159
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209159
WNT10A,FZD3,Secreted Signaling,KEGG: hsa04310; PMID: 23209160
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209160
WNT10A,FZD4,Secreted Signaling,KEGG: hsa04310; PMID: 23209161
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209161
WNT10A,FZD5,Secreted Signaling,KEGG: hsa04310; PMID: 23209162
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209162
WNT10A,FZD6,Secreted Signaling,KEGG: hsa04310; PMID: 23209163
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209163
WNT10A,FZD7,Secreted Signaling,KEGG: hsa04310; PMID: 23209164
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209164
WNT10A,FZD8,Secreted Signaling,KEGG: hsa04310; PMID: 23209165
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209165
WNT10A,FZD9,Secreted Signaling,KEGG: hsa04310; PMID: 23209166
WNT10A,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209166
WNT10B,FZD1,Secreted Signaling,KEGG: hsa04310; PMID: 23209167
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209167
WNT10B,FZD10,Secreted Signaling,KEGG: hsa04310; PMID: 23209168
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209168
WNT10B,FZD2,Secreted Signaling,KEGG: hsa04310; PMID: 23209169
WNT10B,LRP5,Secreted Signaling,KEGG: hsa04310; PMID: 23209169
WNT10B,FZD3,Secreted Signaling,KEGG: hsa04310; PMID: 23209170
