Ligand,Receptor,Annotation,Reference
PDYN,SSTR5, ,ppi_lr
PDYN,APLNR, ,ppi_lr
PDYN,OPRL1, ,ppi_lr
PDYN,CCR2, ,ppi_lr
PDYN,CCR10, ,ppi_lr
PDYN,BDKRB1, ,ppi_lr
PDYN,GALR1, ,ppi_lr
PDYN,HTR5A, ,ppi_lr
PDYN,MTNR1A, ,ppi_lr
PDYN,NPBWR1, ,ppi_lr
PDYN,NPY2R, ,ppi_lr
PDYN,MTNR1B, ,ppi_lr
PDYN,CXCR3, ,ppi_lr
PDYN,AGTR2, ,ppi_lr
PDYN,NPY4R, ,ppi_lr
PDYN,CCR3, ,ppi_lr
PDYN,CCR4, ,ppi_lr
PDYN,CCR5, ,ppi_lr
PDYN,CCR6, ,ppi_lr
PDYN,CCR8, ,ppi_lr
PDYN,CCR9, ,ppi_lr
PDYN,CXCR4, ,ppi_lr
PDYN,GRM4, ,ppi_lr
PDYN,P2RY14, ,ppi_lr
PDYN,NPY5R, ,ppi_lr
PDYN,C3AR1, ,ppi_lr
PDYN,RXFP4, ,ppi_lr
PDYN,LPAR1, ,ppi_lr
PDYN,MCHR1, ,ppi_lr
PDYN,NMUR2, ,ppi_lr
PDYN,HRH4, ,ppi_lr
PDYN,NMUR1, ,ppi_lr
PDYN,LPAR2, ,ppi_lr
PDYN,RXFP3, ,ppi_lr
PDYN,HRH3, ,ppi_lr
PDYN,PTGDR2, ,ppi_lr
CGA,HRH2, ,ppi_lr
CGA,AVPR2, ,ppi_lr
CGA,CALCR, ,ppi_lr
CGA,VIPR1, ,ppi_lr
CGA,MC4R, ,ppi_lr
CGA,MC5R, ,ppi_lr
CGA,HTR7, ,ppi_lr
CGA,CRHR1, ,ppi_lr
CGA,ADCYAP1R1, ,ppi_lr
CGA,VIPR2, ,ppi_lr
CGA,MC3R, ,ppi_lr
CGA,GLP1R, ,ppi_lr
CGA,GCGR, ,ppi_lr
CGA,SCTR, ,ppi_lr
CGA,GIPR, ,ppi_lr
CGA,PTH2R, ,ppi_lr
CGA,HTR6, ,ppi_lr
CGA,MC2R, ,ppi_lr
CGA,MC1R, ,ppi_lr
CGA,GHRHR, ,ppi_lr
CGA,PTH1R, ,ppi_lr
CGA,CRHR2, ,ppi_lr
CGA,HTR4, ,ppi_lr
CGA,CALCRL, ,ppi_lr
CGA,NPSR1, ,ppi_lr
CGA,RXFP2, ,ppi_lr
CGA,RXFP1, ,ppi_lr
TSHB,LHCGR, ,ppi_lr
TSHB,FSHR, ,ppi_lr
TSHB,HRH2, ,ppi_lr
TSHB,AVPR2, ,ppi_lr
TSHB,CALCR, ,ppi_lr
TSHB,VIPR1, ,ppi_lr
TSHB,MC4R, ,ppi_lr
TSHB,MC5R, ,ppi_lr
TSHB,HTR7, ,ppi_lr
TSHB,CRHR1, ,ppi_lr
TSHB,ADCYAP1R1, ,ppi_lr
TSHB,VIPR2, ,ppi_lr
TSHB,MC3R, ,ppi_lr
TSHB,GLP1R, ,ppi_lr
TSHB,GCGR, ,ppi_lr
TSHB,SCTR, ,ppi_lr
TSHB,GIPR, ,ppi_lr
TSHB,PTH2R, ,ppi_lr
TSHB,HTR6, ,ppi_lr
TSHB,MC2R, ,ppi_lr
TSHB,MC1R, ,ppi_lr
TSHB,GHRHR, ,ppi_lr
TSHB,PTH1R, ,ppi_lr
TSHB,CRHR2, ,ppi_lr
TSHB,HTR4, ,ppi_lr
TSHB,CALCRL, ,ppi_lr
TSHB,NPSR1, ,ppi_lr
TSHB,RXFP2, ,ppi_lr
TSHB,RXFP1, ,ppi_lr
FSHB,TSHR, ,ppi_lr
FSHB,LHCGR, ,ppi_lr
FSHB,HRH2, ,ppi_lr
FSHB,AVPR2, ,ppi_lr
FSHB,CALCR, ,ppi_lr
FSHB,VIPR1, ,ppi_lr
FSHB,MC4R, ,ppi_lr
FSHB,MC5R, ,ppi_lr
FSHB,HTR7, ,ppi_lr
FSHB,CRHR1, ,ppi_lr
FSHB,ADCYAP1R1, ,ppi_lr
FSHB,VIPR2, ,ppi_lr
FSHB,MC3R, ,ppi_lr
FSHB,GLP1R, ,ppi_lr
FSHB,GCGR, ,ppi_lr
FSHB,SCTR, ,ppi_lr
FSHB,GIPR, ,ppi_lr
FSHB,PTH2R, ,ppi_lr
FSHB,HTR6, ,ppi_lr
FSHB,MC2R, ,ppi_lr
FSHB,MC1R, ,ppi_lr
FSHB,GHRHR, ,ppi_lr
FSHB,PTH1R, ,ppi_lr
FSHB,CRHR2, ,ppi_lr
FSHB,HTR4, ,ppi_lr
FSHB,CALCRL, ,ppi_lr
FSHB,NPSR1, ,ppi_lr
FSHB,RXFP2, ,ppi_lr
FSHB,RXFP1, ,ppi_lr
LHB,TSHR, ,ppi_lr
LHB,FSHR, ,ppi_lr
LHB,HRH2, ,ppi_lr
LHB,AVPR2, ,ppi_lr
LHB,CALCR, ,ppi_lr
LHB,VIPR1, ,ppi_lr
LHB,MC4R, ,ppi_lr
LHB,MC5R, ,ppi_lr
LHB,HTR7, ,ppi_lr
LHB,CRHR1, ,ppi_lr
LHB,ADCYAP1R1, ,ppi_lr
LHB,VIPR2, ,ppi_lr
LHB,MC3R, ,ppi_lr
LHB,GLP1R, ,ppi_lr
LHB,GCGR, ,ppi_lr
LHB,SCTR, ,ppi_lr
LHB,GIPR, ,ppi_lr
LHB,PTH2R, ,ppi_lr
LHB,HTR6, ,ppi_lr
LHB,MC2R, ,ppi_lr
LHB,MC1R, ,ppi_lr
LHB,GHRHR, ,ppi_lr
LHB,PTH1R, ,ppi_lr
LHB,CRHR2, ,ppi_lr
LHB,HTR4, ,ppi_lr
LHB,CALCRL, ,ppi_lr
LHB,NPSR1, ,ppi_lr
LHB,RXFP2, ,ppi_lr
LHB,RXFP1, ,ppi_lr
CALCA,TSHR, ,ppi_lr
CALCA,LHCGR, ,ppi_lr
CALCA,FSHR, ,ppi_lr
CALCA,HRH2, ,ppi_lr
CALCA,AVPR2, ,ppi_lr
CALCA,VIPR1, ,ppi_lr
CALCA,MC4R, ,ppi_lr
CALCA,MC5R, ,ppi_lr
CALCA,HTR7, ,ppi_lr
CALCA,CRHR1, ,ppi_lr
CALCA,ADCYAP1R1, ,ppi_lr
CALCA,VIPR2, ,ppi_lr
CALCA,MC3R, ,ppi_lr
CALCA,GLP1R, ,ppi_lr
CALCA,GCGR, ,ppi_lr
CALCA,SCTR, ,ppi_lr
CALCA,GIPR, ,ppi_lr
CALCA,PTH2R, ,ppi_lr
CALCA,HTR6, ,ppi_lr
CALCA,MC2R, ,ppi_lr
CALCA,MC1R, ,ppi_lr
CALCA,GHRHR, ,ppi_lr
CALCA,PTH1R, ,ppi_lr
CALCA,CRHR2, ,ppi_lr
CALCA,HTR4, ,ppi_lr
CALCA,NPSR1, ,ppi_lr
CALCA,RXFP2, ,ppi_lr
CALCA,RXFP1, ,ppi_lr
PTH,TSHR, ,ppi_lr
PTH,LHCGR, ,ppi_lr
PTH,FSHR, ,ppi_lr
PTH,HRH2, ,ppi_lr
PTH,AVPR2, ,ppi_lr
PTH,CALCR, ,ppi_lr
PTH,VIPR1, ,ppi_lr
PTH,MC4R, ,ppi_lr
PTH,MC5R, ,ppi_lr
PTH,HTR7, ,ppi_lr
PTH,CRHR1, ,ppi_lr
PTH,ADCYAP1R1, ,ppi_lr
PTH,VIPR2, ,ppi_lr
PTH,MC3R, ,ppi_lr
PTH,GLP1R, ,ppi_lr
PTH,GCGR, ,ppi_lr
PTH,SCTR, ,ppi_lr
PTH,GIPR, ,ppi_lr
PTH,HTR6, ,ppi_lr
PTH,MC2R, ,ppi_lr
PTH,MC1R, ,ppi_lr
PTH,GHRHR, ,ppi_lr
PTH,CRHR2, ,ppi_lr
PTH,HTR4, ,ppi_lr
PTH,CALCRL, ,ppi_lr
PTH,NPSR1, ,ppi_lr
PTH,RXFP2, ,ppi_lr
PTH,RXFP1, ,ppi_lr
GCG,TSHR, ,ppi_lr
GCG,TACR2, ,ppi_lr
GCG,LHCGR, ,ppi_lr
GCG,FSHR, ,ppi_lr
GCG,EDNRB, ,ppi_lr
GCG,HRH2, ,ppi_lr
GCG,FPR2, ,ppi_lr
GCG,EDNRA, ,ppi_lr
GCG,TACR1, ,ppi_lr
GCG,F2R, ,ppi_lr
GCG,HTR2A, ,ppi_lr
GCG,HTR2C, ,ppi_lr
GCG,NMBR, ,ppi_lr
GCG,TACR3, ,ppi_lr
GCG,BDKRB2, ,ppi_lr
GCG,AVPR2, ,ppi_lr
GCG,GRPR, ,ppi_lr
GCG,AGTR1, ,ppi_lr
GCG,OXTR, ,ppi_lr
GCG,GNRHR, ,ppi_lr
GCG,CALCR, ,ppi_lr
GCG,NTSR1, ,ppi_lr
GCG,CCKAR, ,ppi_lr
GCG,CCKBR, ,ppi_lr
GCG,VIPR1, ,ppi_lr
GCG,MC4R, ,ppi_lr
GCG,MC5R, ,ppi_lr
GCG,HTR7, ,ppi_lr
GCG,TRHR, ,ppi_lr
GCG,CRHR1, ,ppi_lr
GCG,HRH1, ,ppi_lr
GCG,AVPR1A, ,ppi_lr
GCG,ADCYAP1R1, ,ppi_lr
GCG,VIPR2, ,ppi_lr
GCG,HTR2B, ,ppi_lr
GCG,MC3R, ,ppi_lr
GCG,XCR1, ,ppi_lr
GCG,BDKRB1, ,ppi_lr
GCG,SCTR, ,ppi_lr
GCG,AVPR1B, ,ppi_lr
GCG,PTH2R, ,ppi_lr
GCG,HTR6, ,ppi_lr
GCG,F2RL1, ,ppi_lr
GCG,MC2R, ,ppi_lr
GCG,MC1R, ,ppi_lr
GCG,GHRHR, ,ppi_lr
GCG,PTH1R, ,ppi_lr
GCG,CRHR2, ,ppi_lr
GCG,HTR4, ,ppi_lr
GCG,CALCRL, ,ppi_lr
GCG,NPSR1, ,ppi_lr
GCG,PROKR2, ,ppi_lr
GCG,PROKR1, ,ppi_lr
GCG,RXFP2, ,ppi_lr
GCG,LPAR1, ,ppi_lr
GCG,GHSR, ,ppi_lr
GCG,KISS1R, ,ppi_lr
GCG,QRFPR, ,ppi_lr
GCG,F2RL3, ,ppi_lr
GCG,LPAR4, ,ppi_lr
GCG,MCHR1, ,ppi_lr
GCG,NMUR2, ,ppi_lr
GCG,NPFFR1, ,ppi_lr
GCG,NMUR1, ,ppi_lr
GCG,LPAR2, ,ppi_lr
GCG,RXFP1, ,ppi_lr
GCG,UTS2R, ,ppi_lr
GCG,NPFFR2, ,ppi_lr
VIP,TSHR, ,ppi_lr
VIP,LHCGR, ,ppi_lr
VIP,FSHR, ,ppi_lr
VIP,HRH2, ,ppi_lr
VIP,AVPR2, ,ppi_lr
VIP,CALCR, ,ppi_lr
VIP,MC4R, ,ppi_lr
VIP,MC5R, ,ppi_lr
VIP,HTR7, ,ppi_lr
VIP,CRHR1, ,ppi_lr
VIP,AVPR1A, ,ppi_lr
VIP,MC3R, ,ppi_lr
VIP,GLP1R, ,ppi_lr
VIP,GCGR, ,ppi_lr
VIP,GIPR, ,ppi_lr
VIP,PTH2R, ,ppi_lr
VIP,HTR6, ,ppi_lr
VIP,MC2R, ,ppi_lr
VIP,MC1R, ,ppi_lr
VIP,GHRHR, ,ppi_lr
VIP,PTH1R, ,ppi_lr
VIP,CRHR2, ,ppi_lr
VIP,HTR4, ,ppi_lr
VIP,CALCRL, ,ppi_lr
VIP,NPSR1, ,ppi_lr
VIP,RXFP2, ,ppi_lr
VIP,RXFP1, ,ppi_lr
GHRH,TSHR, ,ppi_lr
GHRH,LHCGR, ,ppi_lr
GHRH,FSHR, ,ppi_lr
GHRH,HRH2, ,ppi_lr
GHRH,AVPR2, ,ppi_lr
GHRH,CALCR, ,ppi_lr
GHRH,MC4R, ,ppi_lr
GHRH,MC5R, ,ppi_lr
GHRH,HTR7, ,ppi_lr
GHRH,CRHR1, ,ppi_lr
GHRH,ADCYAP1R1, ,ppi_lr
GHRH,VIPR2, ,ppi_lr
GHRH,MC3R, ,ppi_lr
GHRH,GLP1R, ,ppi_lr
GHRH,GCGR, ,ppi_lr
GHRH,SCTR, ,ppi_lr
GHRH,GIPR, ,ppi_lr
GHRH,PTH2R, ,ppi_lr
GHRH,HTR6, ,ppi_lr
GHRH,MC2R, ,ppi_lr
GHRH,MC1R, ,ppi_lr
GHRH,PTH1R, ,ppi_lr
GHRH,CRHR2, ,ppi_lr
GHRH,HTR4, ,ppi_lr
GHRH,CALCRL, ,ppi_lr
GHRH,NPSR1, ,ppi_lr
GHRH,RXFP2, ,ppi_lr
GHRH,RXFP1, ,ppi_lr
PPY,HTR1A, ,ppi_lr
PPY,FPR1, ,ppi_lr
PPY,C5AR1, ,ppi_lr
PPY,CXCR1, ,ppi_lr
PPY,CXCR2, ,ppi_lr
PPY,FPR2, ,ppi_lr
PPY,ACKR3, ,ppi_lr
PPY,HTR1D, ,ppi_lr
PPY,HTR1B, ,ppi_lr
PPY,BDKRB2, ,ppi_lr
PPY,SSTR1, ,ppi_lr
PPY,SSTR2, ,ppi_lr
PPY,HTR1F, ,ppi_lr
PPY,SSTR4, ,ppi_lr
PPY,CCR1, ,ppi_lr
PPY,CCR7, ,ppi_lr
PPY,CXCR5, ,ppi_lr
PPY,SSTR3, ,ppi_lr
PPY,SSTR5, ,ppi_lr
PPY,OPRM1, ,ppi_lr
PPY,APLNR, ,ppi_lr
PPY,OPRD1, ,ppi_lr
PPY,OPRK1, ,ppi_lr
PPY,OPRL1, ,ppi_lr
PPY,CCR2, ,ppi_lr
PPY,CCR10, ,ppi_lr
PPY,BDKRB1, ,ppi_lr
PPY,GALR1, ,ppi_lr
PPY,HTR5A, ,ppi_lr
PPY,MTNR1A, ,ppi_lr
PPY,NPBWR1, ,ppi_lr
PPY,NPY2R, ,ppi_lr
PPY,MTNR1B, ,ppi_lr
PPY,CXCR3, ,ppi_lr
PPY,AGTR2, ,ppi_lr
PPY,CCR3, ,ppi_lr
PPY,CCR4, ,ppi_lr
PPY,CCR5, ,ppi_lr
PPY,CCR6, ,ppi_lr
PPY,CCR8, ,ppi_lr
PPY,CCR9, ,ppi_lr
PPY,CXCR4, ,ppi_lr
PPY,GRM4, ,ppi_lr
PPY,P2RY14, ,ppi_lr
PPY,C3AR1, ,ppi_lr
PPY,RXFP4, ,ppi_lr
PPY,LPAR1, ,ppi_lr
PPY,MCHR1, ,ppi_lr
PPY,NMUR2, ,ppi_lr
PPY,HRH4, ,ppi_lr
PPY,NMUR1, ,ppi_lr
PPY,LPAR2, ,ppi_lr
PPY,RXFP3, ,ppi_lr
PPY,HRH3, ,ppi_lr
PPY,PTGDR2, ,ppi_lr
NPY,HTR1A, ,ppi_lr
NPY,FPR1, ,ppi_lr
NPY,C5AR1, ,ppi_lr
NPY,CXCR1, ,ppi_lr
NPY,CXCR2, ,ppi_lr
NPY,FPR2, ,ppi_lr
NPY,ACKR3, ,ppi_lr
NPY,HTR1D, ,ppi_lr
NPY,HTR1B, ,ppi_lr
NPY,BDKRB2, ,ppi_lr
NPY,SSTR1, ,ppi_lr
NPY,SSTR2, ,ppi_lr
NPY,HTR1F, ,ppi_lr
NPY,SSTR4, ,ppi_lr
NPY,CCR1, ,ppi_lr
NPY,CCR7, ,ppi_lr
NPY,CXCR5, ,ppi_lr
NPY,SSTR3, ,ppi_lr
NPY,SSTR5, ,ppi_lr
NPY,OPRM1, ,ppi_lr
NPY,APLNR, ,ppi_lr
NPY,OPRD1, ,ppi_lr
NPY,OPRK1, ,ppi_lr
NPY,OPRL1, ,ppi_lr
NPY,CCR2, ,ppi_lr
NPY,CCR10, ,ppi_lr
NPY,BDKRB1, ,ppi_lr
NPY,GALR1, ,ppi_lr
NPY,HTR5A, ,ppi_lr
NPY,MTNR1A, ,ppi_lr
NPY,NPBWR1, ,ppi_lr
NPY,MTNR1B, ,ppi_lr
NPY,CXCR3, ,ppi_lr
NPY,AGTR2, ,ppi_lr
NPY,CCR3, ,ppi_lr
NPY,CCR4, ,ppi_lr
NPY,CCR5, ,ppi_lr
NPY,CCR6, ,ppi_lr
NPY,CCR8, ,ppi_lr
NPY,CCR9, ,ppi_lr
NPY,CXCR4, ,ppi_lr
NPY,GRM4, ,ppi_lr
NPY,P2RY14, ,ppi_lr
NPY,C3AR1, ,ppi_lr
NPY,RXFP4, ,ppi_lr
NPY,LPAR1, ,ppi_lr
NPY,MCHR1, ,ppi_lr
NPY,NMUR2, ,ppi_lr
NPY,HRH4, ,ppi_lr
NPY,NMUR1, ,ppi_lr
NPY,LPAR2, ,ppi_lr
NPY,RXFP3, ,ppi_lr
NPY,HRH3, ,ppi_lr
NPY,PTGDR2, ,ppi_lr
GAST,TACR2, ,ppi_lr
GAST,EDNRB, ,ppi_lr
GAST,FPR2, ,ppi_lr
GAST,EDNRA, ,ppi_lr
GAST,TACR1, ,ppi_lr
GAST,F2R, ,ppi_lr
GAST,HTR2A, ,ppi_lr
GAST,HTR2C, ,ppi_lr
GAST,NMBR, ,ppi_lr
GAST,TACR3, ,ppi_lr
GAST,BDKRB2, ,ppi_lr
GAST,GRPR, ,ppi_lr
GAST,AGTR1, ,ppi_lr
GAST,OXTR, ,ppi_lr
GAST,GNRHR, ,ppi_lr
GAST,NTSR1, ,ppi_lr
GAST,TRHR, ,ppi_lr
GAST,HRH1, ,ppi_lr
GAST,AVPR1A, ,ppi_lr
GAST,HTR2B, ,ppi_lr
GAST,XCR1, ,ppi_lr
GAST,BDKRB1, ,ppi_lr
GAST,GCGR, ,ppi_lr
GAST,AVPR1B, ,ppi_lr
GAST,F2RL1, ,ppi_lr
GAST,NPSR1, ,ppi_lr
GAST,PROKR2, ,ppi_lr
GAST,PROKR1, ,ppi_lr
GAST,LPAR1, ,ppi_lr
GAST,GHSR, ,ppi_lr
GAST,KISS1R, ,ppi_lr
GAST,QRFPR, ,ppi_lr
GAST,F2RL3, ,ppi_lr
GAST,LPAR4, ,ppi_lr
GAST,MCHR1, ,ppi_lr
GAST,NMUR2, ,ppi_lr
GAST,NPFFR1, ,ppi_lr
GAST,NMUR1, ,ppi_lr
GAST,LPAR2, ,ppi_lr
GAST,UTS2R, ,ppi_lr
GAST,NPFFR2, ,ppi_lr
LTA,TRAF2, ,ppi_lr
TNF,FAS, ,ppi_lr
TNF,FLT4, ,ppi_lr
APOE,SDC1, ,ppi_lr
APOE,SDC4, ,ppi_lr
APOE,SDC2, ,ppi_lr
APOE,GPC1, ,ppi_lr
APOE,TYRO3, ,ppi_lr
FGA,ITGAD, ,ppi_lr
FN1,TFRC, ,ppi_lr
FN1,RPSA, ,ppi_lr
FN1,IGF2R, ,ppi_lr
FN1,DDR1, ,ppi_lr
PPBP,HTR1A, ,ppi_lr
PPBP,FPR1, ,ppi_lr
PPBP,C5AR1, ,ppi_lr
PPBP,FPR2, ,ppi_lr
PPBP,ACKR3, ,ppi_lr
PPBP,NPY1R, ,ppi_lr
PPBP,HTR1D, ,ppi_lr
PPBP,HTR1B, ,ppi_lr
PPBP,BDKRB2, ,ppi_lr
PPBP,SSTR1, ,ppi_lr
PPBP,SSTR2, ,ppi_lr
PPBP,HTR1F, ,ppi_lr
PPBP,SSTR4, ,ppi_lr
PPBP,CCR1, ,ppi_lr
PPBP,CCR7, ,ppi_lr
PPBP,CXCR5, ,ppi_lr
PPBP,SSTR3, ,ppi_lr
PPBP,SSTR5, ,ppi_lr
PPBP,OPRM1, ,ppi_lr
PPBP,APLNR, ,ppi_lr
PPBP,OPRD1, ,ppi_lr
PPBP,OPRK1, ,ppi_lr
PPBP,OPRL1, ,ppi_lr
PPBP,CCR2, ,ppi_lr
PPBP,CCR10, ,ppi_lr
PPBP,BDKRB1, ,ppi_lr
PPBP,GALR1, ,ppi_lr
PPBP,HTR5A, ,ppi_lr
PPBP,MTNR1A, ,ppi_lr
PPBP,NPBWR1, ,ppi_lr
PPBP,NPY2R, ,ppi_lr
PPBP,MTNR1B, ,ppi_lr
PPBP,CXCR3, ,ppi_lr
PPBP,AGTR2, ,ppi_lr
PPBP,NPY4R, ,ppi_lr
PPBP,CCR3, ,ppi_lr
PPBP,CCR4, ,ppi_lr
PPBP,CCR5, ,ppi_lr
PPBP,CCR6, ,ppi_lr
PPBP,CCR8, ,ppi_lr
PPBP,CCR9, ,ppi_lr
PPBP,CXCR4, ,ppi_lr
PPBP,GRM4, ,ppi_lr
PPBP,P2RY14, ,ppi_lr
PPBP,NPY5R, ,ppi_lr
PPBP,C3AR1, ,ppi_lr
PPBP,RXFP4, ,ppi_lr
PPBP,LPAR1, ,ppi_lr
PPBP,MCHR1, ,ppi_lr
PPBP,NMUR2, ,ppi_lr
PPBP,HRH4, ,ppi_lr
PPBP,NMUR1, ,ppi_lr
PPBP,LPAR2, ,ppi_lr
PPBP,RXFP3, ,ppi_lr
PPBP,HRH3, ,ppi_lr
PPBP,PTGDR2, ,ppi_lr
PF4,HTR1A, ,ppi_lr
PF4,FPR1, ,ppi_lr
PF4,C5AR1, ,ppi_lr
PF4,CXCR1, ,ppi_lr
PF4,CXCR2, ,ppi_lr
PF4,FPR2, ,ppi_lr
PF4,ACKR3, ,ppi_lr
PF4,NPY1R, ,ppi_lr
PF4,HTR1D, ,ppi_lr
PF4,HTR1B, ,ppi_lr
PF4,BDKRB2, ,ppi_lr
PF4,SSTR1, ,ppi_lr
PF4,SSTR2, ,ppi_lr
PF4,HTR1F, ,ppi_lr
PF4,SSTR4, ,ppi_lr
PF4,CCR1, ,ppi_lr
PF4,CCR7, ,ppi_lr
PF4,CXCR5, ,ppi_lr
PF4,SSTR3, ,ppi_lr
PF4,SSTR5, ,ppi_lr
PF4,OPRM1, ,ppi_lr
PF4,APLNR, ,ppi_lr
PF4,OPRD1, ,ppi_lr
PF4,OPRK1, ,ppi_lr
PF4,OPRL1, ,ppi_lr
PF4,CCR2, ,ppi_lr
PF4,CCR10, ,ppi_lr
PF4,BDKRB1, ,ppi_lr
PF4,GALR1, ,ppi_lr
PF4,HTR5A, ,ppi_lr
PF4,MTNR1A, ,ppi_lr
PF4,NPBWR1, ,ppi_lr
PF4,NPY2R, ,ppi_lr
PF4,MTNR1B, ,ppi_lr
PF4,AGTR2, ,ppi_lr
PF4,NPY4R, ,ppi_lr
PF4,CCR3, ,ppi_lr
PF4,CCR4, ,ppi_lr
PF4,CCR5, ,ppi_lr
PF4,CCR6, ,ppi_lr
PF4,CCR8, ,ppi_lr
PF4,CCR9, ,ppi_lr
PF4,CXCR4, ,ppi_lr
PF4,GRM4, ,ppi_lr
PF4,P2RY14, ,ppi_lr
PF4,NPY5R, ,ppi_lr
PF4,C3AR1, ,ppi_lr
PF4,RXFP4, ,ppi_lr
PF4,LPAR1, ,ppi_lr
PF4,MCHR1, ,ppi_lr
PF4,NMUR2, ,ppi_lr
PF4,HRH4, ,ppi_lr
PF4,NMUR1, ,ppi_lr
PF4,LPAR2, ,ppi_lr
PF4,RXFP3, ,ppi_lr
PF4,HRH3, ,ppi_lr
PF4,PTGDR2, ,ppi_lr
CXCL10,HTR1A, ,ppi_lr
CXCL10,FPR1, ,ppi_lr
CXCL10,C5AR1, ,ppi_lr
CXCL10,CXCR1, ,ppi_lr
CXCL10,CXCR2, ,ppi_lr
CXCL10,FPR2, ,ppi_lr
CXCL10,ACKR3, ,ppi_lr
CXCL10,NPY1R, ,ppi_lr
CXCL10,HTR1D, ,ppi_lr
CXCL10,HTR1B, ,ppi_lr
CXCL10,BDKRB2, ,ppi_lr
CXCL10,SSTR1, ,ppi_lr
CXCL10,SSTR2, ,ppi_lr
CXCL10,HTR1F, ,ppi_lr
CXCL10,SSTR4, ,ppi_lr
CXCL10,CCR1, ,ppi_lr
CXCL10,CCR7, ,ppi_lr
CXCL10,CXCR5, ,ppi_lr
CXCL10,SSTR3, ,ppi_lr
CXCL10,SSTR5, ,ppi_lr
CXCL10,OPRM1, ,ppi_lr
CXCL10,APLNR, ,ppi_lr
CXCL10,OPRD1, ,ppi_lr
CXCL10,OPRK1, ,ppi_lr
CXCL10,OPRL1, ,ppi_lr
CXCL10,CCR2, ,ppi_lr
CXCL10,CCR10, ,ppi_lr
CXCL10,BDKRB1, ,ppi_lr
CXCL10,GALR1, ,ppi_lr
CXCL10,HTR5A, ,ppi_lr
CXCL10,MTNR1A, ,ppi_lr
CXCL10,NPBWR1, ,ppi_lr
CXCL10,NPY2R, ,ppi_lr
CXCL10,MTNR1B, ,ppi_lr
CXCL10,AGTR2, ,ppi_lr
CXCL10,NPY4R, ,ppi_lr
CXCL10,CCR4, ,ppi_lr
CXCL10,CCR5, ,ppi_lr
CXCL10,CCR6, ,ppi_lr
CXCL10,CCR8, ,ppi_lr
CXCL10,CCR9, ,ppi_lr
CXCL10,CXCR4, ,ppi_lr
CXCL10,GRM4, ,ppi_lr
CXCL10,P2RY14, ,ppi_lr
CXCL10,NPY5R, ,ppi_lr
CXCL10,C3AR1, ,ppi_lr
CXCL10,RXFP4, ,ppi_lr
CXCL10,LPAR1, ,ppi_lr
CXCL10,MCHR1, ,ppi_lr
CXCL10,NMUR2, ,ppi_lr
CXCL10,HRH4, ,ppi_lr
CXCL10,NMUR1, ,ppi_lr
CXCL10,LPAR2, ,ppi_lr
CXCL10,RXFP3, ,ppi_lr
CXCL10,HRH3, ,ppi_lr
CXCL10,PTGDR2, ,ppi_lr
TF,IGF2R, ,ppi_lr
TF,AVPR2, ,ppi_lr
TF,LRP2, ,ppi_lr
TF,FZD4, ,ppi_lr
LTF,NTRK1, ,ppi_lr
VTN,SDC1, ,ppi_lr
VTN,SDC4, ,ppi_lr
VTN,SDC2, ,ppi_lr
PROC,F2R, ,ppi_lr
ANXA1,HTR1A, ,ppi_lr
ANXA1,TACR2, ,ppi_lr
ANXA1,C5AR1, ,ppi_lr
ANXA1,EDNRB, ,ppi_lr
ANXA1,CXCR1, ,ppi_lr
ANXA1,CXCR2, ,ppi_lr
ANXA1,EDNRA, ,ppi_lr
ANXA1,TACR1, ,ppi_lr
ANXA1,ACKR3, ,ppi_lr
ANXA1,F2R, ,ppi_lr
ANXA1,NPY1R, ,ppi_lr
ANXA1,HTR1D, ,ppi_lr
ANXA1,HTR1B, ,ppi_lr
ANXA1,HTR2A, ,ppi_lr
ANXA1,HTR2C, ,ppi_lr
ANXA1,NMBR, ,ppi_lr
ANXA1,TACR3, ,ppi_lr
ANXA1,BDKRB2, ,ppi_lr
ANXA1,GRPR, ,ppi_lr
ANXA1,AGTR1, ,ppi_lr
ANXA1,OXTR, ,ppi_lr
ANXA1,SSTR1, ,ppi_lr
ANXA1,SSTR2, ,ppi_lr
ANXA1,HTR1F, ,ppi_lr
ANXA1,GNRHR, ,ppi_lr
ANXA1,NTSR1, ,ppi_lr
ANXA1,SSTR4, ,ppi_lr
ANXA1,CCKAR, ,ppi_lr
ANXA1,CCKBR, ,ppi_lr
ANXA1,CCR1, ,ppi_lr
ANXA1,CCR7, ,ppi_lr
ANXA1,CXCR5, ,ppi_lr
ANXA1,SSTR3, ,ppi_lr
ANXA1,TRHR, ,ppi_lr
ANXA1,SSTR5, ,ppi_lr
ANXA1,HRH1, ,ppi_lr
ANXA1,OPRM1, ,ppi_lr
ANXA1,APLNR, ,ppi_lr
ANXA1,BMPR1A, ,ppi_lr
ANXA1,AVPR1A, ,ppi_lr
ANXA1,OPRD1, ,ppi_lr
ANXA1,OPRK1, ,ppi_lr
ANXA1,OPRL1, ,ppi_lr
ANXA1,HTR2B, ,ppi_lr
ANXA1,CCR2, ,ppi_lr
ANXA1,CCR10, ,ppi_lr
ANXA1,XCR1, ,ppi_lr
ANXA1,BDKRB1, ,ppi_lr
ANXA1,GALR1, ,ppi_lr
ANXA1,GCGR, ,ppi_lr
ANXA1,HTR5A, ,ppi_lr
ANXA1,AVPR1B, ,ppi_lr
ANXA1,MTNR1A, ,ppi_lr
ANXA1,NPBWR1, ,ppi_lr
